species,type,genus,name,hexcode,species_name,decade,pct_abundance,species_id,bar_order
Acanthocythereis dun,Ostracode,Acanthocythereis,Ostracode,#e7f0e7,NA,0,0,species_16,4
Agglutinated indet.,Foram,Agglutinated,Foram,#e7f0e7,NA,0,0,species_45,4
Argilloecia spp....6,Ostracode,Argilloecia,Ostracode,#e7f0e7,NA,0,0,species_47,4
Biserial Foram,Foram,Biserial,Foram,#e7f0e7,NA,0,0,species_48,4
Bolivina arctica,Foram,Bolivina,Foram,#e7f0e7,NA,0,0,species_62,4
Buccella frigida,Foram,Buccella,Foram,#e7f0e7,NA,0,0.24390243902439016,species_1,4
Bythocythere constri,Ostracode,Bythocythere,Ostracode,#e7f0e7,NA,0,0,species_17,4
Cassidulina reniforme,Foram,Cassidulina,Cassidulina,#3c475a,C. reniforme,0,40.58943089430894,species_2,2
Cassidulina teretis,Foram,Cassidulina,Cassidulina,#3c475a,NA,0,18.861788617886173,species_3,2
Cluthia cluthae (Bra,Ostracode,Cluthia,Ostracode,#e7f0e7,NA,0,0,species_18,4
Cyclogyra,Foram,Cyclogyra,Foram,#e7f0e7,NA,0,0,species_39,4
Cytheromorpha macche,Ostracode,Cytheromorpha,Ostracode,#e7f0e7,NA,0,0,species_32,4
Cytheropteron arctic,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,0,0,species_55,4
Cytheropteron biconv,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,0,0,species_40,4
Cytheropteron elaeni,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,0,0,species_19,4
Cytheropteron inflat,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,0,0,species_52,4
Cytheropteron montro,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,0,0,species_36,4
Cytheropteron nodoso,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,0,0,species_58,4
Cytheropteron parala,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,0,0,species_53,4
Cytheropteron spp...,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,0,0,species_37,4
Dentalina,Foram,Dentalina,Foram,#e7f0e7,NA,0,0,species_49,4
E. subarcticum,Foram,Elphidium,Elphidium,#697a93,NA,0,0,species_20,1
Elofsonella concinna,Ostracode,Elofsonella,Ostracode,#e7f0e7,NA,0,0,species_21,4
Elphidiella groenlandica,Foram,Elphidiella,Foram,#e7f0e7,NA,0,0,species_22,4
Elphidium agg. Large,Foram,Elphidium,Elphidium,#697a93,NA,0,0,species_23,1
Elphidium agg. Small,Foram,Elphidium,Elphidium,#697a93,NA,0,0,species_24,1
Elphidium bartletti,Foram,Elphidium,Elphidium,#697a93,NA,0,2.886178861788617,species_4,1
Elphidium excavatum clavatum,Foram,Elphidium,Elphidium,#697a93,E. excavatum,0,19.65447154471544,species_5,1
Elphidium incertum,Foram,Elphidium,Elphidium,#697a93,NA,0,0.24390243902439016,species_6,1
Eucythere sp....85,Ostracode,Eucythere,Ostracode,#e7f0e7,NA,0,0,species_41,4
Haynesina orbicular,Foram,Haynesina,Foram,#e7f0e7,NA,0,0.4878048780487803,species_7,4
Heterocyprideis sorb,Ostracode,Heterocyprideis,Ostracode,#e7f0e7,NA,0,0,species_33,4
Jonesia acuminata (S,Ostracode,Jonesia,Ostracode,#e7f0e7,NA,0,0,species_60,4
Kotoracythere arctob,Ostracode,Kotoracythere,Kotoracythere,#c49051,K. arctoborealis,0,0,species_25,5
Lagena mollis,Foram,Lagena,Foram,#e7f0e7,NA,0,0.7317073170731706,species_8,4
Nonion agg.,Foram,Nonion,Foram,#e7f0e7,NA,0,0,species_43,4
