family,thermal_guild,species,cvi_2030,cvi_2075,cvi_2030_family,cvi_2075_family
Cyprinidae,warm,Albanian roach,0,-0.12674595966311653,0,-0.12674595966311653
Cyprinidae,warm,Asp,0,-0.12674595966311658,0,-0.12674595966311658
Cyprinidae,warm,Barbel,0,-0.15351243187409472,0,-0.15351243187409472
Cyprinidae,warm,Bata,0,0.37206388891501935,0,0.37206388891501935
Cyprinidae,warm,Beyşehir bleak,0,-0.1727921934966878,0,-0.1727921934966878
Cyprinidae,warm,Black bream,0,0.19706442551266273,0,0.19706442551266273
Cyprinidae,warm,Black carp,0,0.19706442551266273,0,0.19706442551266273
Cyprinidae,warm,Blue-finned mahseer,0,0.2386778365629439,0,0.2386778365629439
Cyprinidae,warm,Catla,0,0.3720638889150193,0,0.3720638889150193
Cyprinidae,warm,Chocolate mahseer,0,0.21181878773691584,0,0.21181878773691584
Cyprinidae,warm,Chub,0,-0.17351529202546123,0,-0.17351529202546123
Cyprinidae,warm,Common barbel,0,-0.15351243187409475,0,-0.15351243187409475
Cyprinidae,warm,Common bleak,0,-0.1727921934966878,0,-0.1727921934966878
Cyprinidae,warm,Common bream,0,-0.20817948843969888,0,-0.20817948843969888
Cyprinidae,warm,Common carp,0,-0.13165865030651286,0,-0.13165865030651286
Cyprinidae,warm,Common nase,0,-0.10402292348955595,0,-0.10402292348955595
Cyprinidae,warm,Common roach,0,-0.19771860966928614,0,-0.19771860966928614
Cyprinidae,warm,Crucian carp,0,-0.1316586503065129,0,-0.1316586503065129
Cyprinidae,warm,Cyprinds,0,-0.13165865030651291,0,-0.13165865030651291
Cyprinidae,warm,European carp,0,-0.13165865030651283,0,-0.13165865030651283
Cyprinidae,warm,European chub,0,-0.17351529202546126,0,-0.17351529202546126
Cyprinidae,warm,Ghonia,0,0.3720638889150193,0,0.3720638889150193
Cyprinidae,warm,Golden mahseer,0,0.13905799068941688,0,0.13905799068941688
Cyprinidae,warm,Goldfish,0,-0.13165865030651283,0,-0.13165865030651283
Cyprinidae,warm,Grass carp,0,0.1970644255126627,0,0.1970644255126627
Cyprinidae,warm,Gudgeon,0,-0.11715395492165936,0,-0.11715395492165936
Cyprinidae,warm,Italian bleak,0,-0.17279219349668792,0,-0.17279219349668792
Cyprinidae,warm,Kalibaus,0,0.3720638889150193,0,0.3720638889150193
Cyprinidae,warm,Kutum,0,-0.10402292348955605,0,-0.10402292348955605
Cyprinidae,warm,Labeo,0,0.37206388891501935,0,0.37206388891501935
Cyprinidae,warm,Mrigal,0,0.3720638889150193,0,0.3720638889150193
Cyprinidae,warm,Mullet,0,-0.1735152920254612,0,-0.1735152920254612
Cyprinidae,warm,Orange River mudfish,0,0.3720638889150193,0,0.3720638889150193
Cyprinidae,warm,Pale chub,0,0.19706442551266287,0,0.19706442551266287
Cyprinidae,warm,Pearl mullet,0,-0.17279219349668795,0,-0.17279219349668795
Cyprinidae,warm,Prussian carp,0,-0.13165865030651291,0,-0.13165865030651291
Cyprinidae,warm,Prussian/Crucian carp,0,-0.13165865030651283,0,-0.13165865030651283
Cyprinidae,warm,Razor fish (ziege),0,-0.1267459596631165,0,-0.1267459596631165
Cyprinidae,warm,Red garra,0,0.37206388891501935,0,0.37206388891501935
Cyprinidae,warm,Rohu,0,0.37206388891501935,0,0.37206388891501935
Cyprinidae,warm,Rudd,0,-0.1727921934966879,0,-0.1727921934966879
Cyprinidae,warm,Rui,0,0.37206388891501924,0,0.37206388891501924
Cyprinidae,warm,Shabout,0,-0.15351243187409466,0,-0.15351243187409466
Cyprinidae,warm,Silver bream,0,-0.20817948843969877,0,-0.20817948843969877
Cyprinidae,warm,Silver carp,0,0.1970644255126629,0,0.1970644255126629
Cyprinidae,warm,Tench,0,-0.11715395492165945,0,-0.11715395492165945
Cyprinidae,warm,Transcau casian barb,0,-0.1535124318740947,0,-0.1535124318740947
Cyprinidae,warm,Trout barb,0,-0.1535124318740947,0,-0.1535124318740947
Cyprinidae,warm,Vimba bream,0,-0.12674595966311641,0,-0.12674595966311641
Cyprinidae,warm,White Bream,0,-0.20817948843969877,0,-0.20817948843969877
Percidae,cool,Eurasian Ruffe,0,-0.11250527094534767,0,-0.11250527094534767
Percidae,cool,European perch,0,-0.12568476887712102,0,-0.12568476887712102
Percidae,cool,Golden perch,0,0.030164612386623692,0,0.030164612386623692
Percidae,cool,Redfin perch,0,-0.1256847688771208,0,-0.1256847688771208
Percidae,cool,Volga pikeperch,0,-0.19081224231396332,0,-0.19081224231396332
Percidae,cool,Walleye,0,-0.04218264912350984,0,-0.04218264912350984
Percidae,cool,Yellow perch,0,-0.06559965926335624,0,-0.06559965926335624
Percidae,cool,Zander (pikeperch),0,-0.1430053459462026,0,-0.1430053459462026
Salmonidae,cold,Arctic Char,0,-0.018371792037054607,0,-0.018371792037054607
Salmonidae,cold,Atlantic salmon,0,-0.09450403105167436,0,-0.09450403105167436
Salmonidae,cold,Balkan trout,0,-0.11286733554414553,0,-0.11286733554414553
Salmonidae,cold,Brook Trout,0,-0.06625534224631832,0,-0.06625534224631832
Salmonidae,cold,Brown Trout,0,-0.11286733554414562,0,-0.11286733554414562
Salmonidae,cold,Cherry trout,0,-0.05942407235726659,0,-0.05942407235726659
Salmonidae,cold,Chinook Salmon (Quinnat Salmon),0,-0.04901053698319066,0,-0.04901053698319066
Salmonidae,cold,Chum salmon,0,-0.015020507572166128,0,-0.015020507572166128
Salmonidae,cold,Coho salmon,0,-0.06708638496180307,0,-0.06708638496180307
Salmonidae,cold,Common huchen,0,-0.05982949588597892,0,-0.05982949588597892
Salmonidae,cold,Dolly varden/Char,0,-0.034698667349516474,0,-0.034698667349516474
Salmonidae,cold,European grayling,0,-0.1190454219139104,0,-0.1190454219139104
Salmonidae,cold,Pink salmon,0,-0.04347572414192542,0,-0.04347572414192542
Salmonidae,cold,Rainbow trout,0,-0.05321346547492189,0,-0.05321346547492189
Salmonidae,cold,Salmon,0,-0.030033367611790023,0,-0.030033367611790023
Salmonidae,cold,Sockeye salmon,0,-0.00325633244218971,0,-0.00325633244218971
Salmonidae,cold,Steelhead,0,-0.05321346547492191,0,-0.05321346547492191
Salmonidae,cold,Trout,0,-0.036775579505042726,0,-0.036775579505042726
Salmonidae,cold,Vendace,0,-0.06808082541938247,0,-0.06808082541938247
Salmonidae,cold,Whitefish,0,-0.06808082541938261,0,-0.06808082541938261
Siluridae,warm,Boal,0,-0.15453018258377504,0,-0.15453018258377504
Siluridae,warm,Catfish,0,-0.154530182583775,0,-0.154530182583775
Siluridae,warm,European catfish,0,-0.1545301825837752,0,-0.1545301825837752
Siluridae,warm,Far eastern catfish,0,-0.15453018258377504,0,-0.15453018258377504
Siluridae,warm,Wels catfish,0,-0.15453018258377502,0,-0.15453018258377502
